full_name,pdes,neo,pha,H,diameter,albedo,rot_per,BV,spec_B,spec_T,diameter_sigma,e,a,q,i,ad,per,per_y,moid,sigma_e,sigma_a,sigma_tp,sigma_per,two_body
   284 Amalia (A889 KA),284,N,N,10.3,52.95,0.0602,8.545,0.698,Ch,CX,2.6,0.22205454,2.359843405,1.835829463,8.043827211,2.883857347,1324.107374,3.625208417,0.833337,1.05E-09,8.26E-10,2.24E-06,6.95E-07,
    33 Polyhymnia (A854 UB),33,N,N,8.47,52.929,0.24,18.608,0.848,Sq,S,2.304,0.33326692,2.874150507,1.91629122,1.852031938,3.832009794,1779.765101,4.872731284,0.908422,1.70E-09,1.60E-09,2.41E-06,1.49E-06,
   138 Tolosa (A874 KA),138,N,N,9.02,52.905,0.273,10.101,0.877,,S,1.048,0.161885579,2.451144098,2.054339216,3.198844169,2.847948981,1401.689086,3.837615568,1.04213,1.57E-09,1.68E-09,3.94E-06,1.44E-06,
   253 Mathilde (A885 VA),253,N,N,10.35,52.8,0.0436,417.7,,Cb,,,0.264370003,2.646519094,1.946858832,6.740899232,3.346179356,1572.573577,4.305471806,0.938539,9.28E-10,7.68E-10,1.72E-06,6.84E-07,
   845 Naema (A916 WM),845,N,N,10.12,52.677,0.041,20.892,,C,,0.291,0.068515672,2.939588336,2.738180465,12.61252643,3.140996207,1840.891533,5.040086332,1.7595,1.06E-09,1.66E-09,6.33E-06,1.56E-06,
   987 Wallia (A922 UB),987,N,N,9.64,52.651,0.144,10.0813,,,,0.357,0.237971013,3.134623636,2.388674075,8.91028392,3.880573197,2027.106344,5.5499147,1.37938,1.17E-09,2.46E-09,5.51E-06,2.38E-06,
   527 Euryanthe (A904 FC),527,N,N,10.41,52.627,0.039,42.75,,Cb,,0.36,0.151876134,2.724518349,2.310729035,9.661056401,3.138307664,1642.604592,4.497206275,1.2999,7.73E-10,1.02E-09,2.13E-06,9.26E-07,
   846 Lipperta (A916 WN),846,N,N,10.36,52.41,0.0506,1641,0.61,,CBU:,1.4,0.174841773,3.134320987,2.586310749,0.264858947,3.682331226,2026.812775,5.549110951,1.59117,8.63E-10,2.75E-09,7.16E-06,2.66E-06,
   166 Rhodope (A876 PB),166,N,N,9.88,52.393,0.046,4.715,0.725,Xe,GC:,0.196,0.210272521,2.687092262,2.122070597,12.02287161,3.252113927,1608.874967,4.404859594,1.1667,9.51E-10,1.29E-09,2.28E-06,1.16E-06,
  1149 Volga (1929 PF),1149,N,N,10.53,52.377,0.038,27.262,0.69,,,0.365,0.098379517,2.896350964,2.611409355,11.76199784,3.181292574,1800.425711,4.929296949,1.63976,8.99E-10,1.33E-09,2.15E-06,1.24E-06,
   294 Felicia (A890 NA),294,N,N,10.28,51.865,0.095,10.4227,,,,0.514,0.23255756,3.157283574,2.42303341,6.265877007,3.891533738,2049.1267,5.610203148,1.40914,6.37E-10,1.63E-09,1.36E-06,1.59E-06,
   591 Irmgard (A906 EE),591,N,N,10.63,51.86,0.0364,7.35,0.693,,X,1.3,0.210029982,2.677957633,2.115506238,12.4513073,3.240409027,1600.678014,4.38241756,1.13102,8.88E-10,9.60E-10,1.86E-06,8.61E-07,
  1254 Erfordia (1932 JA),1254,N,N,10.69,51.54,0.032,12.287,,,,0.112,0.02458047,3.135875661,3.058794362,7.091959681,3.212956959,2028.320959,5.553240134,2.07209,9.22E-10,1.32E-09,8.91E-06,1.28E-06,
   270 Anahita (A887 TA),270,N,N,8.87,51.4,0.211,15.06,0.866,,S,1.495,0.150776801,2.198336238,1.866878133,2.36735832,2.529794343,1190.527977,3.259487958,0.857343,1.97E-09,9.55E-10,3.10E-06,7.76E-07,
   665 Sabine (A908 OE),665,N,N,8.63,51.09,0.3895,4.294,,,,2.4,0.172321602,3.144226635,2.602408465,14.74816765,3.686044805,2036.428613,5.57543768,1.60574,2.19E-09,3.66E-09,4.83E-06,3.56E-06,
   743 Eugenisis (A913 DD),743,N,N,10.28,51.072,0.068,10.23,,Ch,,0.293,0.059160864,2.792330362,2.627133686,4.840508586,2.957527039,1704.310128,4.666146825,1.63722,8.00E-10,1.13E-09,3.35E-06,1.04E-06,
   816 Juliana (A916 CE),816,N,N,10.46,50.745,0.043,10.557,,,,0.25,0.103531817,3.005168922,2.694038322,14.32443774,3.316299521,1902.837757,5.20968585,1.71067,8.33E-10,1.23E-09,2.65E-06,1.17E-06,
   269 Justitia (A887 SA),269,N,N,9.7,50.728,0.061,33.128,,Ld,,0.236,0.216596047,2.613111734,2.047122063,5.477935038,3.179101405,1542.891537,4.22420681,1.03577,1.39E-09,1.26E-09,2.67E-06,1.12E-06,
   868 Lova (A917 HB),868,N,N,10.45,50.692,0.056,41.118,0.711,Ch,C:,0.191,0.146112401,2.70445575,2.309301226,5.836972363,3.099610273,1624.494506,4.447623561,1.32571,1.15E-09,1.64E-09,3.19E-06,1.48E-06,
  1135 Colchis (1929 TA),1135,N,N,10.78,50.592,0.057,23.467,,Xk,,0.953,0.113705777,2.665681536,2.362578147,4.540767699,2.968784925,1589.684071,4.352317786,1.35631,1.05E-09,1.21E-09,3.79E-06,1.09E-06,
   448 Natalie (A899 UC),448,N,N,10.2,50.534,0.052,8.0646,0.66,,C,0.249,0.186828643,3.134265816,2.548695187,12.72946883,3.719836445,2026.75926,5.548964436,1.57077,6.56E-10,1.94E-09,5.06E-06,1.89E-06,
   338 Budrosa (A892 SF),338,N,N,8.59,50.506,0.276,4.6084,0.704,Xk,M,0.479,0.017591816,2.913290744,2.862040671,6.038359374,2.964540818,1816.243907,4.972604812,1.87504,2.68E-09,3.67E-09,2.49E-05,3.43E-06,
  1961 Dufour (1973 WA),1961,N,N,10.82,50.31,0.0402,15.79,,,,1.6,0.12648705,3.190846409,2.78724566,6.648710644,3.594447158,2081.887593,5.699897584,1.80986,9.00E-10,1.39E-09,3.04E-06,1.36E-06,
   774 Armor (A913 YE),774,N,N,9.05,50.214,0.189,25.194,,,,0.457,0.164943531,3.051407166,2.548097293,5.562572993,3.55471704,1946.922525,5.330383367,1.53177,1.53E-09,2.47E-09,2.87E-06,2.36E-06,
   113 Amalthea (A871 EA),113,N,N,8.54,50.137,0.224,9.95,0.925,S,S,1.265,0.086165969,2.376479402,2.171707752,5.042451701,2.581251053,1338.133701,3.663610407,1.17375,1.86E-09,1.54E-09,7.41E-06,1.30E-06,
   248 Lameia (A885 LA),248,N,N,10.29,50.12,0.062,11.912,0.83,,,0.311,0.067899321,2.470510814,2.302764807,4.0652505,2.638256821,1418.334169,3.883187322,1.28616,9.67E-10,8.23E-10,4.29E-06,7.08E-07,
   261 Prymno (A886 UA),261,N,N,9.54,50.011,0.137,8.002,0.7,X,B,0.525,0.090406873,2.331033904,2.120292418,3.633978175,2.541775391,1299.934028,3.559025401,1.13047,1.52E-09,1.15E-09,4.58E-06,9.58E-07,
