full_name,pdes,neo,pha,H,diameter,albedo,rot_per,BV,spec_B,spec_T,diameter_sigma,e,a,q,i,ad,per,per_y,moid,sigma_e,sigma_a,sigma_tp,sigma_per,two_body
   342 Endymion (A892 UA),342,N,N,10.24,64.266,0.035,6.319,0.712,Ch,C,1.72,0.129933999,2.567688182,2.234058189,7.352460379,2.901318175,1502.836901,4.114543192,1.25697,9.61E-10,1.22E-09,3.44E-06,1.07E-06,
   485 Genua (A902 JC),485,N,N,8.24,63.88,0.2072,17.59,0.848,S,,2.9,0.189362911,2.751386456,2.230375908,13.86529166,3.272397004,1666.962459,4.563894482,1.29691,2.37E-09,1.68E-09,3.54E-06,1.53E-06,
   949 Hel (A921 EM),949,N,N,9.79,63.494,0.058,16.43,,,,0.743,0.200252838,2.995646865,2.395760079,10.64162519,3.595533651,1893.801042,5.184944674,1.41562,1.21E-09,1.81E-09,3.68E-06,1.71E-06,
    79 Eurynome (A863 RA),79,N,N,7.78,63.479,0.287,5.978,0.874,S,S,0.952,0.191024948,2.443945323,1.977090795,4.613161362,2.910799851,1395.518683,3.820721924,0.987022,1.93E-09,1.28E-09,2.85E-06,1.09E-06,
   336 Lacadiera (A892 SA),336,N,N,9.94,63.356,0.054,13.6958,0.733,Xk,D,11.378,0.094785448,2.252265555,2.038783555,5.648363676,2.465747555,1234.604397,3.38016262,1.02387,1.23E-09,9.70E-10,4.79E-06,7.98E-07,
  1240 Centenaria (1932 CD),1240,N,N,10.17,63.035,0.056,11.2907,,,,0.266,0.175372472,2.866308517,2.363636908,10.1616319,3.368980126,1772.486059,4.852802353,1.35853,1.10E-09,1.70E-09,3.68E-06,1.58E-06,
   264 Libussa (A886 YA),264,N,N,8.3,62.969,0.187,9.2276,0.84,S,S,0.414,0.135089922,2.799120399,2.420987443,10.4250964,3.177253356,1710.530395,4.683176989,1.42904,1.93E-09,2.57E-09,4.59E-06,2.35E-06,
   738 Alagasta (A913 AF),738,N,N,10.02,62.79,0.0398,17.89,0.763,,CGSU,1.2,0.05640515,3.03538954,2.864177939,3.530931716,3.206601142,1931.612809,5.288467651,1.86726,1.20E-09,1.80E-09,4.46E-06,1.72E-06,
   640 Brambilla (A907 QA),640,N,N,9.32,62.667,0.055,7.768,0.753,,G,0.529,0.078350226,3.160233769,2.912628738,13.37052081,3.407838799,2051.999454,5.618068322,1.90337,1.02E-09,2.43E-09,4.30E-06,2.37E-06,
   656 Beagle (A917 ST),656,N,N,10.04,62.604,0.045,7.035,,,,0.512,0.13011248,3.156090747,2.745443955,0.518142011,3.56673754,2047.965565,5.607024133,1.75507,1.13E-09,2.27E-09,5.32E-06,2.21E-06,
