# PARTHENOPE -> PSYCHE -> THEMIS LT-chain trajectory
# Frame: heliocentric ECLIPJ2000, units km / km/s / kg
# Time system: SPICE ET (TDB seconds past J2000)
et_seconds_past_J2000,utc_iso,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,mass_kg
947057305.899893,2030-01-04T19:27:16.715864,155881029.175770,223234449.206881,-20157515.112657,-10.962498476,18.070369392,-0.129444739,1458.8484
947452107.129567,2030-01-09T09:07:17.945405,151475483.815173,230255395.612102,-20198491.822472,-11.351076659,17.497144582,-0.078429053,1458.8484
947846908.359241,2030-01-13T22:47:19.174948,146921429.515203,237050676.364497,-20219669.295055,-11.715044132,16.927251258,-0.029133869,1458.8484
948241709.588915,2030-01-18T12:27:20.404493,142228324.200242,243621682.442645,-20221713.791971,-12.055695462,16.361060916,0.018506267,1458.8484
948636510.818589,2030-01-23T02:07:21.634041,137405131.551432,249969937.931546,-20205266.185743,-12.374240703,15.798877981,0.064554499,1458.8484
949031312.048263,2030-01-27T15:47:22.863592,132460353.357492,256097075.378064,-20170942.891828,-12.671810514,15.240948889,0.109071568,1458.8484
949426113.277937,2030-02-01T05:27:24.093147,127402059.876380,262004814.494048,-20119336.827221,-12.949461111,14.687469993,0.152115767,1458.8484
949820914.507611,2030-02-05T19:07:25.322708,122237918.281004,267694943.767543,-20051018.380236,-13.208179017,14.138594414,0.193742930,1458.8484
950215715.737285,2030-02-10T08:47:26.552274,116975219.274488,273169304.600245,-19966536.379399,-13.448885578,13.594438006,0.234006446,1458.8484
950610516.966959,2030-02-14T22:27:27.781847,111620901.967882,278429777.639682,-19866419.052189,-13.672441249,13.055084533,0.272957295,1458.8484
951005318.196633,2030-02-19T12:07:29.011426,106181577.116935,283478271.018370,-19751174.966609,-13.879649624,12.520590164,0.310644099,1458.8484
951400119.426307,2030-02-24T01:47:30.241014,100663548.815600,288316710.250190,-19621293.950348,-14.071261218,11.990987388,0.347113182,1458.8484
951794920.655981,2030-02-28T15:27:31.470610,95072834.742983,292947029.567232,-19477247.983793,-14.247977018,11.466288408,0.382408644,1458.8484
952189721.885655,2030-03-05T05:07:32.700214,89415185.058080,297371164.508930,-19319492.064247,-14.410451785,10.946488103,0.416572432,1458.8484
952584523.115329,2030-03-09T18:47:33.929828,83696100.033340,301591045.600116,-19148465.039703,-14.559297138,10.431566590,0.449644421,1458.8484
952979324.345003,2030-03-14T08:27:35.159451,77920846.514073,305608592.976117,-18964590.411187,-14.695084422,9.921491466,0.481662494,1458.8484
953374125.574677,2030-03-18T22:07:36.389084,72019397.051705,309347221.815921,-18758340.311685,-15.008504213,9.217304091,0.537835428,1445.6532
953768926.804350,2030-03-23T11:47:37.618727,66071680.846395,312887183.772322,-18540042.402881,-15.119705741,8.716315505,0.567867182,1445.6532
