Name_DecRadius,Class_Composition_SMASSII,Mass_kg,Radius_km,SMA_AU,Eccentricity,Inclination_deg,RotPeriod_hr,SciScore_A_Characterisation,SciScore_B_Interest,SciScore_Combined,SciFlags_Applied,SciPotential_Score_1to10,DeltaV_Score,Total_WeightedScore,Sub_Mass_Score,Sub_Radius_Score,Sub_Ecc_Score,Sub_Inc_Score,Sub_SMA_Score,Sub_RotPer_Score
15 Eunomia  (r=115.8km),S — Silicaceous stony [SMASSII],1.7582419258727e+19,115.8445,2.642186114,0.187781331,11.76143491,6.083,9,0,3.6,none,6.68,0,3.4247,6,6,3.33,2.82,7.96,3.16
301 Bavaria  (r=26.5km),C — Primitive carbonaceous [SMASSII],1.09392193707262e+17,26.521,2.724623302,0.065557637,4.898390716,12.253,8,0,3.2,none,3.81,0,3.422,1,1,8.67,8.02,6.82,9.69
53 Kalypso  (r=48.6km),XC — X-complex (metallic / enstatite) [Tholen],1.68615018238399e+18,48.631,2.618578447,0.20298836,5.181938586,9.036,7,0,2.8,none,2.28,0,3.418,4,4,2.8,7.73,8.16,6.53
117 Lomia  (r=104.5km),X — X-complex (metallic / enstatite) [SMASSII],1.67241261093904e+19,104.487,2.991884567,0.022921092,14.921925,9.127,9,0,3.6,none,6.68,0,3.4064,6,5,9.89,1.02,4.36,6.67
85 Io  (r=77.4km),B — Primitive blue (possible organics/ice) [SMASSII],2.71866288769964e+18,77.395,2.653032539,0.193085426,11.96082526,6.875,9,1,4.2,B-type(+1),8.38,0,3.3924,5,5,3.09,2.64,7.76,3.76
221 Eos  (r=47.7km),K — Eos-family stony (intermediate) [SMASSII],1.23012574276419e+18,47.7345,3.012518238,0.101059525,10.89025188,10.443,9,0,3.6,none,6.68,0,3.3816,4,4,7.09,3.29,4.04,8.07
454 Mathesis  (r=40.9km),CB — Primitive carbonaceous [Tholen],4.00385531574749e+17,40.8715,2.626595668,0.11181948,6.292830232,8.378,8,0,3.2,none,3.81,0,3.3802,3,3,6.53,6.73,8.07,5.67
266 Aline  (r=54.7km),Ch — Primitive carbonaceous [SMASSII],9.62271498637944e+17,54.747,2.805949391,0.154846394,13.39965963,13.018,9,2,4.8,aqueous-alteration(+3),9.41,0,3.3784,4,4,4.71,1.78,5.4,8.87
14 Irene  (r=76.0km),S — Silicaceous stony [SMASSII],4.96470159612804e+18,76,2.587873257,0.162670165,9.129549915,15.028,8,0,3.2,none,3.81,0,3.3771,5,5,4.36,4.64,8.44,7.11
405 Thia  (r=54.4km),Ch — Primitive carbonaceous [SMASSII],9.46538996241746e+17,54.447,2.584239868,0.243409973,11.93833631,9.95,9,2,4.8,aqueous-alteration(+3),9.41,0,3.3696,4,4,1.51,2.67,8.49,7.46
84 Klio  (r=39.6km),Ch — Primitive carbonaceous [SMASSII],3.63616862035624e+17,39.58,2.362396782,0.235450194,9.313668688,23.562,9,2,4.8,aqueous-alteration(+3),9.41,0,3.3691,3,3,1.8,4.51,9.62,3.22
444 Gyptis  (r=79.7km),C — Primitive carbonaceous [SMASSII],2.96501915669725e+18,79.6655,2.77081013,0.173380619,10.27336677,6.214,9,0,3.6,none,6.68,0,3.3607,5,5,3.84,3.71,5.98,3.33
578 Happelia  (r=34.6km),Xc — X-complex (metallic / enstatite) [SMASSII],6.09646873141318e+17,34.645,2.750456354,0.19514448,6.126855377,10.061,8,0,3.2,none,3.81,0,3.354,4,3,3.02,6.84,6.31,7.6
346 Hermentaria  (r=43.2km),S — Silicaceous stony [SMASSII],9.13297283040166e+17,43.2235,2.79499908,0.102744667,8.757979897,28.523,9,0,3.6,none,6.68,0,3.35,4,3,7,4.78,5.58,2.2
68 Leto  (r=61.3km),S — Silicaceous stony [Tholen],2.59935963819064e+18,61.2545,2.782761579,0.184340944,7.960518538,14.848,8,0,3.2,none,3.81,0,3.3456,5,4,3.47,5.6,5.76,7.22
656 Beagle  (r=31.3km),Unclassified,2.56941861557716e+17,31.302,3.156090747,0.13011248,0.518142011,7.035,6,0,2.4,none,1.56,0,3.3427,3,2,5.71,9.93,1.87,3.96
866 Fatme  (r=39.0km),X — X-complex (metallic / enstatite) [SMASSII],8.71703918390692e+17,39.0305,3.123414441,0.051816081,8.660993939,11.6,8,0,3.2,none,3.81,0,3.3402,4,3,9.27,4.87,2.98,9.44
362 Havnia  (r=49.0km),XC — X-complex (metallic / enstatite) [Tholen],1.7248244258102e+18,49,2.578214969,0.044653261,8.05730767,16.92,7,0,2.8,none,2.28,0,3.3358,4,4,9.49,5.42,8.56,5.8
23 Thalia  (r=53.8km),S — Silicaceous stony [SMASSII],1.75772659532352e+18,53.765,2.628877066,0.231241779,10.10821722,12.312,9,0,3.6,none,6.68,0,3.334,4,4,1.96,3.89,8.04,9.58
1135 Colchis (1929 TA)  (r=25.3km),Xk — X-complex (metallic / enstatite) [SMASSII],2.37307908337955e+17,25.296,2.665681536,0.113705777,4.540767699,23.467,8,0,3.2,none,3.81,0,3.3327,3,1,6.42,8.27,7.53,3.24
35 Leukothea  (r=51.5km),C — Primitive carbonaceous [SMASSII],8.02294584803439e+17,51.5275,3.00569867,0.217263308,7.86606907,31.9,9,0,3.6,none,6.68,0,3.3229,4,4,2.31,5.67,4.16,1.82
139 Juewa  (r=75.6km),X — X-complex (metallic / enstatite) [SMASSII],6.32408960691075e+18,75.558,2.785623724,0.170248829,10.87122913,20.991,9,0,3.6,none,6.68,0,3.3087,5,5,4.13,3.31,5.71,3.73
80 Sappho  (r=34.3km),S — Silicaceous stony [SMASSII],4.55650470040858e+17,34.2815,2.296282028,0.199671169,8.676097554,14.03,9,0,3.6,none,6.68,0,3.3087,3,3,2.91,4.84,9.82,7.84
792 Metcalfia  (r=30.9km),X — X-complex (metallic / enstatite) [SMASSII],4.32629787473594e+17,30.902,2.622321593,0.130694327,8.627668966,9.17,9,0,3.6,none,6.68,0,3.29,3,2,5.67,4.91,8.13,6.76
322 Phaeo  (r=34.9km),X — X-complex (metallic / enstatite) [SMASSII],6.24682238121432e+17,34.9275,2.783822618,0.244028676,8.045606265,17.5845,9,0,3.6,none,6.68,0,3.2864,4,3,1.49,5.47,5.73,5.36
1071 Brita  (r=30.4km),Xk — X-complex (metallic / enstatite) [SMASSII],4.1314768706668e+17,30.431,2.79943345,0.111443084,5.361289732,5.8169,8,0,3.2,none,3.81,0,3.2838,3,2,6.56,7.64,5.53,2.93
521 Brixia  (r=53.6km),Ch — Primitive carbonaceous [SMASSII],9.03730884600891e+17,53.6135,2.743246455,0.278391471,10.58419099,28.479,9,2,4.8,aqueous-alteration(+3),9.41,0,3.2793,4,4,1.2,3.56,6.44,2.24
407 Arachne  (r=47.5km),C — Primitive carbonaceous [Tholen],6.2987901507066e+17,47.535,2.624729051,0.070294903,7.521041637,22.627,7,0,2.8,none,2.28,0,3.2749,4,4,8.42,5.96,8.09,3.44
143 Adria  (r=47.7km),Xc — X-complex (metallic / enstatite) [SMASSII],1.59000188994201e+18,47.6885,2.763971165,0.071514023,11.44452917,22.005,9,0,3.6,none,6.68,0,3.2727,4,4,8.38,3.04,6.11,3.6
924 Toni  (r=42.7km),X — X-complex (metallic / enstatite) [SMASSII],1.14501880135282e+18,42.745,2.938553673,0.152998333,8.987457774,19.437,9,0,3.6,none,6.68,0,3.2722,4,3,4.76,4.71,4.6,4.44
1107 Lictoria (1929 FB)  (r=39.5km),Xc — X-complex (metallic / enstatite) [SMASSII],9.06254493530334e+17,39.5395,3.187659131,0.118800078,7.073236356,8.5616,8,0,3.2,none,3.81,0,3.2616,4,3,6.24,6.27,1.27,5.87
283 Emma  (r=66.2km),X — X-complex (metallic / enstatite) [Tholen],4.25189964876682e+18,66.1925,3.048081255,0.143919597,7.988649793,6.896,8,0,3.2,none,3.81,0,3.2611,5,4,5.13,5.56,3.82,3.8
191 Kolga  (r=47.3km),Cb — Primitive carbonaceous [SMASSII],6.19324592474204e+17,47.268,2.896511601,0.087022497,11.52126785,17.604,9,0,3.6,none,6.68,0,3.258,4,4,7.6,2.98,4.96,5.31
337 Devosa  (r=32.3km),X — X-complex (metallic / enstatite) [SMASSII],4.92873220652714e+17,32.2745,2.383598881,0.137226516,7.859353334,4.653,9,0,3.6,none,6.68,0,3.2576,3,2,5.33,5.69,9.38,1.93
976 Benjamina  (r=41.6km),XD: — X-complex (metallic / enstatite) [Tholen],1.05525725072615e+18,41.5975,3.192268311,0.110324287,7.726733152,9.701,8,0,3.2,none,3.81,0,3.2442,4,3,6.64,5.8,1.11,7.24
579 Sidonia  (r=42.8km),K — Eos-family stony (intermediate) [SMASSII],8.85782268631931e+17,42.785,3.011859497,0.076188052,11.0173522,16.29,9,0,3.6,none,6.68,0,3.234,4,3,8.13,3.2,4.07,6.24
410 Chloris  (r=59.5km),Ch — Primitive carbonaceous [SMASSII],1.23307632541399e+18,59.4645,2.725912922,0.240006744,10.96342882,32.5,9,2,4.8,aqueous-alteration(+3),9.41,0,3.2313,4,4,1.62,3.24,6.78,1.8
712 Boliviana  (r=62.1km),X — X-complex (metallic / enstatite) [SMASSII],3.50464837417439e+18,62.0625,2.576165512,0.184997664,12.75544396,11.7426,9,0,3.6,none,6.68,0,3.2291,5,4,3.44,2.24,8.6,9.67
284 Amalia  (r=26.5km),Ch — Primitive carbonaceous [SMASSII],1.08823966489998e+17,26.475,2.359843405,0.22205454,8.043827211,8.545,9,2,4.8,aqueous-alteration(+3),9.41,0,3.2064,1,1,2.07,5.49,9.67,5.84
