Name_DecRadius,Class_Composition_SMASSII,Mass_kg,Radius_km,SMA_AU,Eccentricity,Inclination_deg,RotPeriod_hr,SciPotential_Score,DeltaV_Score,Total_WeightedScore,Subscr_Mass_Score,Subscr_Radius_Score,Subscr_Ecc_Score,Subscr_Inc_Score,Subscr_SMA_Score,Subscr_RotPer_Score
494 Virtus (r = 50.4 km),Ch (Primitive carbonaceous) [SMASSII],7.50459545008264e+17,50.393,2.985633761,0.064234988,7.077691633,40.42,10,0,3.8,1,2,8,6,4,7
17 Thetis (r = 42.4 km),Sl (Silicaceous stony) [SMASSII],8.65107567510849e+17,42.4495,2.472822588,0.131258395,5.59392353,12.27048,10,0,3.8,1,2,6,6,7,10
119 Althaea (r = 28.6 km),Sl (Silicaceous stony) [SMASSII],2.65966079988851e+17,28.65,2.580817835,0.081873975,5.786828662,11.484,10,0,3.8,1,1,7,6,6,10
431 Nephele (r = 51.0 km),B (Primitive carbonaceous) [SMASSII],7.75620376503527e+17,50.95,3.145882266,0.171735961,1.829988468,13.53,10,0,3.79,1,2,6,8,2,10
240 Vanadis (r = 44.0 km),C (Primitive carbonaceous) [SMASSII],4.9831991359846e+17,43.964,2.662520688,0.208908179,2.106269936,10.565,10,0,3.79,1,2,5,8,6,9
59 Elpis (r = 82.6 km),B (Primitive carbonaceous) [SMASSII],3.3000293867159e+18,82.5595,2.713657457,0.11662738,8.64827569,13.671,10,0,3.78,1,3,7,5,5,9
211 Isolda (r = 70.6 km),Ch (Primitive carbonaceous) [SMASSII],2.06033823833093e+18,70.5625,3.047970718,0.15457111,3.87368625,18.365,10,0,3.77,1,3,6,7,3,9
163 Erigone (r = 40.8 km),Ch (Primitive carbonaceous) [SMASSII],3.9798049716437e+17,40.7895,2.366634135,0.191972551,4.815056163,16.136,10,0,3.77,1,2,5,7,8,9
257 Silesia (r = 36.3 km),Ch (Primitive carbonaceous) [SMASSII],2.81198395675082e+17,36.33,3.119250613,0.112404588,3.612006069,15.7095,10,0,3.77,1,2,7,7,2,9
363 Padua (r = 48.5 km),X (Metallic / enstatite) [SMASSII],1.67256062862569e+18,48.5,2.746369557,0.072963673,5.950233824,8.401,8,0,3.75,1,2,8,6,5,9
407 Arachne (r = 47.5 km),C (Primitive carbonaceous) [Tholen],6.2987901507066e+17,47.535,2.624729051,0.070294903,7.521041637,22.627,8,0,3.75,1,2,8,6,6,8
103 Hera (r = 42.0 km),S (Silicaceous stony) [SMASSII],8.351654026658e+17,41.954,2.702774435,0.081043207,5.426017176,23.74,10,0,3.75,1,2,7,6,5,8
380 Fiducia (r = 33.8 km),C (Primitive carbonaceous) [Tholen],2.25523801301824e+17,33.754,2.67885292,0.114763823,6.163949444,13.69,10,0,3.75,1,1,7,6,6,9
46 Hestia (r = 65.7 km),Xc (Metallic / enstatite) [SMASSII],4.16443958058955e+18,65.7355,2.525879736,0.171929293,2.351324432,21.04,8,0,3.74,1,2,6,8,7,8
37 Fides (r = 54.2 km),S (Silicaceous stony) [SMASSII],1.79824612630237e+18,54.175,2.643038375,0.174714191,3.067627078,7.3335,10,0,3.74,1,2,5,8,6,8
62 Erato (r = 53.5 km),Ch (Primitive carbonaceous) [SMASSII],8.96015853361981e+17,53.4605,3.129557891,0.167973531,2.236946111,9.2213,10,0,3.74,1,2,6,8,2,9
223 Rosa (r = 39.9 km),X (Metallic / enstatite) [Tholen],9.31479493151302e+17,39.903,3.092318254,0.120681176,1.923022826,20.283,10,0,3.74,1,2,6,8,3,8
66 Maja (r = 35.9 km),Ch (Primitive carbonaceous) [SMASSII],2.71558161876537e+17,35.91,2.646772517,0.172075626,3.043199894,9.73509,8,0,3.74,1,2,6,8,6,9
468 Lina (r = 30.1 km),CPF (Primitive carbonaceous) [Tholen],1.6022795523285e+17,30.119,3.136337948,0.194873817,0.435622664,16.33,10,0,3.73,1,1,5,10,2,9
558 Carmen (r = 27.4 km),M (Metallic (M-type)) [Tholen],3.0176567854346e+17,27.4055,2.908682275,0.038309235,8.373423611,11.387,10,0,3.73,1,1,8,5,4,10
210 Isabella (r = 43.3 km),Cb (Primitive carbonaceous) [SMASSII],4.76905530851726e+17,43.325,2.721803506,0.123283815,5.258795127,6.672,10,0,3.72,1,2,6,7,5,8
44 Nysa (r = 35.3 km),Xc (Metallic / enstatite) [SMASSII],6.45979503545616e+17,35.32,2.423190705,0.149877697,3.71255278,6.422,10,0,3.72,1,1,6,7,7,8
271 Penthesilea (r = 33.0 km),PC (Primitive dark (P-type)) [Tholen],5.24496604397309e+17,32.9505,3.003597126,0.103664727,3.53189534,18.787,10,0,3.72,1,1,7,7,3,9
409 Aspasia (r = 85.5 km),Xc (Metallic / enstatite) [SMASSII],9.16529451557314e+18,85.506,2.575146719,0.073320511,11.28516083,9.022,10,0,3.71,1,3,7,4,6,9
38 Leda (r = 46.1 km),Cgh (Primitive carbonaceous) [SMASSII],5.75567678221185e+17,46.1275,2.742576316,0.150928237,6.951653968,12.838,10,0,3.7,1,2,6,6,5,10
213 Lilaea (r = 41.0 km),B (Primitive carbonaceous) [SMASSII],4.05595053568732e+17,41.048,2.754601345,0.145640533,6.819570364,12.042,10,0,3.7,1,2,6,6,5,10
336 Lacadiera (r = 31.7 km),Xk (Metallic / enstatite) [SMASSII],4.66047214999749e+17,31.678,2.252265555,0.094785448,5.648363676,13.6958,8,0,3.7,1,1,7,6,9,9
49 Pales (r = 83.1 km),Ch (Primitive carbonaceous) [SMASSII],3.36842819268605e+18,83.126,3.098062538,0.221474352,3.201655558,20.705,10,0,3.69,1,3,5,8,3,8
146 Lucina (r = 80.2 km),Ch (Primitive carbonaceous) [SMASSII],3.0200108297281e+18,80.155,2.720696356,0.064552059,13.09647403,18.557,10,0,3.69,1,3,8,3,5,9
171 Ophelia (r = 65.4 km),C (Primitive carbonaceous) [SMASSII],1.6407014978555e+18,65.404,3.127973571,0.132783216,2.547010098,6.66535,10,0,3.69,1,2,6,8,2,8
449 Hamburga (r = 42.8 km),C (Primitive carbonaceous) [Tholen],4.59616633209522e+17,42.795,2.550231152,0.173737919,3.079210625,36.516,10,0,3.69,1,2,5,8,6,7
1262 Sniadeckia (1933 FE) (r = 35.5 km),C (Primitive carbonaceous) [SMASSII],2.62484427933963e+17,35.5055,3.006516732,0.003833966,13.14348902,17.57,10,0,3.69,1,1,10,3,3,9
82 Alkmene (r = 28.8 km),Sq (Silicaceous stony) [SMASSII],2.70461068691468e+17,28.8105,2.763971493,0.221103398,2.825140389,12.999,10,0,3.69,1,1,5,8,5,10
349 Dembowska (r = 69.9 km),R (Pyroxene-olivine) [SMASSII],3.86015089683828e+18,69.885,2.925403407,0.088567515,8.248170268,4.701,10,0,3.68,1,3,7,5,4,8
233 Asterope (r = 49.8 km),K (Eos-family stony) [SMASSII],1.39985129994776e+18,49.836,2.658789536,0.101640759,7.690731362,19.694,10,0,3.68,1,2,7,5,6,8
362 Havnia (r = 49.0 km),XC (Metallic / enstatite) [Tholen],1.7248244258102e+18,49,2.578214969,0.044653261,8.05730767,16.92,8,0,3.68,1,2,8,5,6,9
235 Carolina (r = 28.8 km),S (Silicaceous stony) [Tholen],2.68999246771419e+17,28.7585,2.881647683,0.0601369,9.029523656,17.61,10,0,3.68,1,1,8,5,4,9
106 Dione (r = 103.9 km),Cgh (Primitive carbonaceous) [SMASSII],6.58409120676913e+18,103.9345,3.182491001,0.158853256,4.575003943,16.21,10,0,3.67,1,3,6,7,1,9
476 Hedwig (r = 69.2 km),X (Metallic / enstatite) [SMASSII],4.86799513457665e+18,69.2465,2.649796649,0.07495169,10.92544809,27.33,10,0,3.66,1,3,7,4,6,8
143 Adria (r = 47.7 km),Xc (Metallic / enstatite) [SMASSII],1.59000188994201e+18,47.6885,2.763971165,0.071514023,11.44452917,22.005,10,0,3.66,1,2,8,4,5,8
9 Metis (r = 95.0 km),S (Silicaceous stony) [Tholen],9.69668280493757e+18,95,2.386566544,0.122564495,5.577707857,5.079,8,0,3.65,1,3,6,6,8,8
128 Nemesis (r = 81.3 km),C (Primitive carbonaceous) [SMASSII],3.14634987431064e+18,81.2575,2.749973114,0.12700639,6.246829389,38.9325,10,0,3.65,1,3,6,6,5,7
331 Etheridgea (r = 37.5 km),C (Primitive carbonaceous) [SMASSII],3.0826198035168e+17,37.46,3.025862756,0.095198248,6.035604477,25.315,10,0,3.65,1,2,7,6,3,8
508 Princetonia (r = 58.6 km),C (Primitive carbonaceous) [Tholen],1.18131359006196e+18,58.6205,3.164497089,0.009215749,13.29835661,52.8,10,0,3.64,1,2,10,3,2,7
140 Siwa (r = 54.9 km),Xc (Metallic / enstatite) [SMASSII],2.42524167178609e+18,54.895,2.730571574,0.217954256,3.191291075,34.445,10,0,3.64,1,2,5,8,5,7
222 Lucia (r = 27.7 km),BU (Primitive carbonaceous) [Tholen],1.24302405626994e+17,27.675,3.150292056,0.130703069,2.140803662,7.8371,10,0,3.64,1,1,6,8,2,9
117 Lomia (r = 104.5 km),X (Metallic / enstatite) [SMASSII],1.67241261093904e+19,104.487,2.991884567,0.022921092,14.921925,9.127,10,0,3.63,2,3,9,1,3,9
346 Hermentaria (r = 43.2 km),S (Silicaceous stony) [SMASSII],9.13297283040166e+17,43.2235,2.79499908,0.102744667,8.757979897,28.523,10,0,3.63,1,2,7,5,5,8
88 Thisbe (r = 116.0 km),B (Primitive carbonaceous) [SMASSII],9.15357222568636e+18,116,2.766963824,0.16528953,5.226419823,6.042,8,0,3.62,1,3,6,7,5,8
419 Aurelia (r = 74.4 km),F (Primitive carbonaceous) [Tholen],2.41028459672399e+18,74.3505,2.59570823,0.252281007,3.931316125,16.784,10,0,3.62,1,3,4,7,6,9
144 Vibilia (r = 71.2 km),Ch (Primitive carbonaceous) [SMASSII],2.11579518176805e+18,71.19,2.653452344,0.235600232,4.816044481,13.819,10,0,3.62,1,3,4,7,6,9
693 Zerbinetta (r = 41.1 km),ST (Silicaceous stony) [Tholen],7.82733662189919e+17,41.057,2.943115906,0.029712901,14.19131421,11.475,10,0,3.62,1,2,9,2,4,10
333 Badenia (r = 36.1 km),C: (Primitive carbonaceous) [Tholen],2.75879992236566e+17,36.0995,3.129674259,0.159762863,3.738775443,9.862,10,0,3.62,1,2,6,7,2,9
301 Bavaria (r = 26.5 km),C (Primitive carbonaceous) [SMASSII],1.09392193707262e+17,26.521,2.724623302,0.065557637,4.898390716,12.253,6,0,3.62,1,1,8,7,5,10
248 Lameia (r = 25.1 km),Unknown (Unclassified),1.3184443545192e+17,25.06,2.470510814,0.067899321,4.0652505,11.912,5,0,3.62,1,1,8,7,7,10
39 Laetitia (r = 89.7 km),S (Silicaceous stony) [SMASSII],8.17409358401465e+18,89.742,2.770985906,0.113063597,10.37524429,5.138,10,0,3.61,1,3,7,4,5,8
177 Irma (r = 34.5 km),Ch (Primitive carbonaceous) [SMASSII],2.41323067959625e+17,34.5245,2.77206281,0.234689857,1.381489943,13.856,10,0,3.61,1,1,4,9,5,9
159 Aemilia (r = 62.6 km),Ch (Primitive carbonaceous) [SMASSII],1.43983995793656e+18,62.618,3.108003631,0.099366867,6.114337921,24.476,10,0,3.6,1,2,7,6,2,8
55 Pandora (r = 42.4 km),X (Metallic / enstatite) [SMASSII],1.1172800265575e+18,42.397,2.757849808,0.145062578,7.176481152,4.804,10,0,3.6,1,2,6,6,5,8
133 Cyrene (r = 36.1 km),S (Silicaceous stony) [SMASSII],5.31523859312461e+17,36.0875,3.074195082,0.130296883,7.224512738,12.708,10,0,3.6,1,2,6,6,3,10
90 Antiope (r = 58.0 km),C (Primitive carbonaceous) [SMASSII],1.14342732711611e+18,57.987,3.141267866,0.172446553,2.205400175,16.509,10,0,3.59,1,2,5,8,2,9
517 Edith (r = 55.9 km),X (Metallic / enstatite) [Tholen],2.56708641366266e+18,55.945,3.155536185,0.179670817,3.2284101,9.2747,10,0,3.59,1,2,5,8,2,9
379 Huenna (r = 42.4 km),C (Primitive carbonaceous) [SMASSII],4.4680133796371e+17,42.3935,3.141891752,0.179050249,1.671030004,14.141,10,0,3.59,1,2,5,8,2,9
1171 Rusthawelia (1930 TA) (r = 41.1 km),P (Primitive dark (P-type)) [Tholen],1.01892376800012e+18,41.1145,3.174075375,0.194805301,3.086319072,10.98,10,0,3.59,1,2,5,8,1,10
94 Aurora (r = 102.4 km),C (Primitive carbonaceous) [SMASSII],6.30505595799797e+18,102.445,3.1563619,0.096384844,7.969781987,7.22,10,0,3.58,1,3,7,5,2,8
93 Minerva (r = 77.1 km),C (Primitive carbonaceous) [SMASSII],2.68534138334521e+18,77.0775,2.752986528,0.142909307,8.539724129,5.982,10,0,3.58,1,3,6,5,5,8
179 Klytaemnestra (r = 35.0 km),Sk (Silicaceous stony) [SMASSII],4.83783483250741e+17,34.973,2.972734515,0.109265647,7.817421377,11.173,10,0,3.58,1,1,7,5,4,10
441 Bathilde (r = 32.6 km),Xk (Metallic / enstatite) [SMASSII],5.06325622568773e+17,32.5655,2.805898933,0.082511137,8.159433282,10.446,10,0,3.58,1,1,7,5,5,9
275 Sapientia (r = 51.5 km),C (Primitive carbonaceous) [SMASSII],8.01010726968483e+17,51.5,2.77377234,0.162130091,4.765853424,14.933,8,0,3.57,1,2,6,7,5,9
79 Eurynome (r = 31.7 km),S (Silicaceous stony) [SMASSII],3.61620145208418e+17,31.7395,2.443945323,0.191024948,4.613161362,5.978,10,0,3.57,1,1,5,7,7,8
743 Eugenisis (r = 25.5 km),Ch (Primitive carbonaceous) [SMASSII],9.76506759766296e+16,25.536,2.792330362,0.059160864,4.840508586,10.23,6,0,3.57,1,1,8,7,5,9
18 Melpomene (r = 69.8 km),S (Silicaceous stony) [SMASSII],3.84558701133674e+18,69.797,2.295556956,0.217961979,10.13085816,11.57,10,0,3.56,1,3,5,4,8,10
172 Baucis (r = 31.2 km),L (Spinel-bearing stony) [SMASSII],3.43987286165936e+17,31.215,2.379719179,0.114132777,10.0160019,27.417,10,0,3.56,1,1,7,4,8,8
487 Venetia (r = 29.5 km),S (Silicaceous stony) [Tholen],2.9102736893856e+17,29.523,2.669459303,0.08623071,10.25348892,13.34,10,0,3.56,1,1,7,4,6,10
954 Li (r = 29.4 km),FCX (Primitive carbonaceous) [Tholen],1.48804443197596e+17,29.3855,3.128560966,0.173666135,1.172665122,7.207,10,0,3.56,1,1,5,9,2,8
402 Chloe (r = 27.7 km),K (Eos-family stony) [SMASSII],2.40649774943931e+17,27.7105,2.558965214,0.111406215,11.83877174,10.664,10,0,3.56,1,1,7,4,6,10
200 Dynamene (r = 64.2 km),Ch (Primitive carbonaceous) [SMASSII],1.54816334983369e+18,64.1505,2.73802494,0.133598782,6.900311478,37.394,10,0,3.55,1,2,6,6,5,7
5 Astraea (r = 53.3 km),S (Silicaceous stony) [SMASSII],1.7172891814517e+18,53.3495,2.576864645,0.187508617,5.359248121,16.806,10,0,3.55,1,2,5,6,6,9
342 Endymion (r = 32.1 km),Ch (Primitive carbonaceous) [SMASSII],1.94567575441131e+17,32.133,2.567688182,0.129933999,7.352460379,6.319,10,0,3.55,1,1,6,6,6,8
307 Nike (r = 30.7 km),CX (Primitive carbonaceous) [Tholen],1.68960177484348e+17,30.6565,2.906696288,0.1429513,6.128539503,11.857,10,0,3.55,1,1,6,6,4,10
232 Russia (r = 27.4 km),C (Primitive carbonaceous) [Tholen],1.20171920668989e+17,27.365,2.554708445,0.171524317,6.066110817,21.905,10,0,3.55,1,1,6,6,6,8
489 Comacina (r = 69.7 km),C (Primitive carbonaceous) [Tholen],1.98527883340563e+18,69.695,3.151507718,0.048867703,12.99412567,9.02,10,0,3.54,1,3,8,3,2,9
69 Hesperia (r = 69.1 km),X (Metallic / enstatite) [SMASSII],4.8298172923976e+18,69.065,2.977057203,0.168952904,8.585627803,5.655,10,0,3.53,1,3,6,5,4,8
28 Bellona (r = 60.5 km),S (Silicaceous stony) [SMASSII],2.4982810228861e+18,60.45,2.777283791,0.148986451,9.423244063,15.706,10,0,3.53,1,2,6,5,5,9
12 Victoria (r = 57.5 km),L (Spinel-bearing stony) [SMASSII],2.15496983099517e+18,57.5435,2.333839594,0.219930701,8.374034564,8.6599,10,0,3.53,1,2,5,5,8,9
567 Eleutheria (r = 46.7 km),CFB: (Primitive carbonaceous) [Tholen],5.97457165630601e+17,46.705,3.141528185,0.08334009,9.228971002,7.717,10,0,3.53,1,2,7,5,2,9
202 Chryseis (r = 43.1 km),S (Silicaceous stony) [Tholen],9.03916328890327e+17,43.075,3.067590752,0.105139885,8.853205423,23.67,10,0,3.53,1,2,7,5,3,8
639 Latona (r = 39.3 km),S (Silicaceous stony) [Tholen],6.84101784529782e+17,39.2545,3.013448113,0.110680799,8.574335043,6.193,10,0,3.53,1,2,7,5,3,8
337 Devosa (r = 32.3 km),X (Metallic / enstatite) [SMASSII],4.92873220652714e+17,32.2745,2.383598881,0.137226516,7.859353334,4.653,10,0,3.53,1,1,6,5,8,8
932 Hooveria (r = 29.5 km),CB (Primitive carbonaceous) [Tholen],1.50382320283145e+17,29.489,2.419281096,0.09125474,8.109630089,78.44,10,0,3.53,1,1,7,5,7,6
255 Oppavia (r = 28.5 km),X (Metallic / enstatite) [Tholen],3.38295462884772e+17,28.4695,2.74659021,0.078962205,9.460609648,19.499,10,0,3.53,1,1,7,5,5,8
503 Evelyn (r = 40.8 km),Ch (Primitive carbonaceous) [SMASSII],3.9946050363654e+17,40.84,2.725463951,0.173170368,5.011308204,38.871,10,0,3.52,1,2,5,7,5,7
245 Vera (r = 38.0 km),S (Silicaceous stony) [SMASSII],6.193391966754e+17,37.9745,3.095080969,0.197575892,5.179189068,14.38,10,0,3.52,1,2,5,7,3,9
116 Sirona (r = 35.9 km),Sk (Silicaceous stony) [SMASSII],5.21098536519305e+17,35.85,2.768396033,0.138052693,3.561361782,12.028,8,0,3.52,1,1,6,7,5,10
425 Cornelia (r = 34.0 km),C (Primitive carbonaceous) [SMASSII],2.29728882112091e+17,33.9625,2.886421238,0.057244226,4.051284529,17.505,6,0,3.52,1,1,8,7,4,9
191 Kolga (r = 47.3 km),Cb (Primitive carbonaceous) [SMASSII],6.19324592474204e+17,47.268,2.896511601,0.087022497,11.52126785,17.604,10,0,3.51,1,2,7,4,4,9
589 Croatia (r = 46.8 km),CX (Primitive carbonaceous) [Tholen],6.01437935389439e+17,46.8085,3.133353283,0.040304487,10.79903408,24.932,10,0,3.51,1,2,8,4,2,8
192 Nausikaa (r = 49.4 km),Sl (Silicaceous stony) [SMASSII],1.36243782360645e+18,49.388,2.403374329,0.245258603,6.79542009,13.625,10,0,3.5,1,2,4,6,8,9
758 Mancunia (r = 44.5 km),X (Metallic / enstatite) [Tholen],1.29127005882916e+18,44.4925,3.190974233,0.148204802,5.608781278,12.7253,10,0,3.5,1,2,6,6,1,10
100 Hekate (r = 42.9 km),S (Silicaceous stony) [SMASSII],8.90884999212278e+17,42.867,3.090445716,0.167976153,6.430925832,27.066,10,0,3.5,1,2,6,6,3,8
67 Asia (r = 28.2 km),S (Silicaceous stony) [SMASSII],2.52403766038996e+17,28.1545,2.422211935,0.185714287,6.024430014,15.853,10,0,3.5,1,1,5,6,7,9
417 Suevia (r = 27.4 km),Xk (Metallic / enstatite) [SMASSII],3.0280742733763e+17,27.437,2.800181479,0.134952223,6.645356661,7.034,10,0,3.5,1,1,6,6,5,8
15 Eunomia (r = 115.8 km),S (Silicaceous stony) [SMASSII],1.7582419258727e+19,115.8445,2.642186114,0.187781331,11.76143491,6.083,10,0,3.49,2,3,5,4,6,8
238 Hypatia (r = 77.8 km),Ch (Primitive carbonaceous) [SMASSII],2.76470861770527e+18,77.8295,2.905019778,0.091759912,12.40639712,8.8749,10,0,3.49,1,3,7,3,4,9
50 Virginia (r = 42.0 km),Ch (Primitive carbonaceous) [SMASSII],4.35623990651954e+17,42.037,2.651119343,0.284555655,2.839129815,14.315,10,0,3.49,1,2,3,8,6,9
14 Irene (r = 76.0 km),S (Silicaceous stony) [SMASSII],4.96470159612804e+18,76,2.587873257,0.162670165,9.129549915,15.028,8,0,3.48,1,3,6,5,6,9
490 Veritas (r = 59.4 km),Ch (Primitive carbonaceous) [SMASSII],1.2291613071249e+18,59.4015,3.175356698,0.088500881,9.290085707,7.93,10,0,3.48,1,2,7,5,1,9
42 Isis (r = 55.5 km),L (Spinel-bearing stony) [SMASSII],1.93328601469612e+18,55.4985,2.443792161,0.221926553,8.510020395,13.59,10,0,3.48,1,2,5,5,7,9
976 Benjamina (r = 41.6 km),XD: (Metallic / enstatite) [Tholen],1.05525725072615e+18,41.5975,3.192268311,0.110324287,7.726733152,9.701,10,0,3.48,1,2,7,5,1,9
429 Lotis (r = 34.8 km),C (Primitive carbonaceous) [Tholen],2.47359568607317e+17,34.81,2.606169001,0.124270096,9.543655478,13.577,10,0,3.48,1,1,6,5,6,9
524 Fidelio (r = 32.8 km),XC (Metallic / enstatite) [Tholen],5.15617349924766e+17,32.7635,2.636432641,0.126516455,8.221300931,14.198,10,0,3.48,1,1,6,5,6,9
792 Metcalfia (r = 30.9 km),X (Metallic / enstatite) [SMASSII],4.32629787473594e+17,30.902,2.622321593,0.130694327,8.627668966,9.17,10,0,3.48,1,1,6,5,6,9
74 Galatea (r = 59.4 km),C (Primitive carbonaceous) [SMASSII],1.22627697237315e+18,59.355,2.78221713,0.236797638,4.070780613,17.268,10,0,3.47,1,2,4,7,5,9
86 Semele (r = 55.0 km),C (Primitive carbonaceous) [Tholen],9.73785918044598e+17,54.9645,3.10611274,0.217691675,4.820781591,16.634,10,0,3.47,1,2,5,7,2,9
53 Kalypso (r = 48.6 km),XC (Metallic / enstatite) [Tholen],1.68615018238399e+18,48.631,2.618578447,0.20298836,5.181938586,9.036,8,0,3.47,1,2,5,7,6,9
102 Miriam (r = 41.3 km),C (Primitive carbonaceous) [SMASSII],4.13036023150384e+17,41.2975,2.664138789,0.251265044,5.171916162,23.613,10,0,3.47,1,2,4,7,6,8
165 Loreley (r = 90.0 km),Cb (Primitive carbonaceous) [SMASSII],4.28099587004536e+18,90.0415,3.126794242,0.08351853,11.23382489,7.226,10,0,3.46,1,3,7,4,2,8
139 Juewa (r = 75.6 km),X (Metallic / enstatite) [SMASSII],6.32408960691075e+18,75.558,2.785623724,0.170248829,10.87122913,20.991,10,0,3.46,1,3,6,4,5,8
221 Eos (r = 47.7 km),K (Eos-family stony) [SMASSII],1.23012574276419e+18,47.7345,3.012518238,0.101059525,10.89025188,10.443,10,0,3.46,1,2,7,4,3,9
635 Vundtia (r = 47.2 km),C (Primitive carbonaceous) [Tholen],6.16949548032776e+17,47.2075,3.141114404,0.078554658,11.00817615,11.79,10,0,3.46,1,2,7,4,2,10
579 Sidonia (r = 42.8 km),K (Eos-family stony) [SMASSII],8.85782268631931e+17,42.785,3.011859497,0.076188052,11.0173522,16.29,10,0,3.46,1,2,7,4,3,9
162 Laurentia (r = 48.5 km),Ch (Primitive carbonaceous) [SMASSII],6.69458866434183e+17,48.5105,3.014262554,0.182998611,6.091999472,11.8686,10,0,3.45,1,2,5,6,3,10
201 Penelope (r = 42.9 km),X (Metallic / enstatite) [SMASSII],1.16063926862248e+18,42.9385,2.680864825,0.180112422,5.760729795,3.7474,10,0,3.45,1,2,5,6,6,7
868 Lova (r = 25.3 km),Ch (Primitive carbonaceous) [SMASSII],9.54871511898028e+16,25.346,2.70445575,0.146112401,5.836972363,41.118,10,0,3.45,1,1,6,6,5,7
369 Aeria (r = 36.9 km),M (Metallic (M-type)) [Tholen],7.35619158803591e+17,36.8835,2.647635983,0.098722015,12.72666199,4.778,10,0,3.44,1,2,7,3,6,8
156 Xanthippe (r = 71.7 km),Ch (Primitive carbonaceous) [SMASSII],2.15915288068215e+18,71.673,2.734247263,0.221799178,9.763675486,22.132,10,0,3.43,1,3,5,5,5,8
81 Terpsichore (r = 58.9 km),Cb (Primitive carbonaceous) [SMASSII],1.19606529613538e+18,58.8635,2.851528563,0.211771083,7.801192622,10.943,10,0,3.43,1,2,5,5,5,10
924 Toni (r = 42.7 km),X (Metallic / enstatite) [SMASSII],1.14501880135282e+18,42.745,2.938553673,0.152998333,8.987457774,19.437,10,0,3.43,1,2,6,5,4,8
236 Honoria (r = 38.9 km),L (Spinel-bearing stony) [SMASSII],6.63375733713744e+17,38.854,2.799687296,0.189668665,7.69736077,12.338,10,0,3.43,1,2,5,5,5,10
80 Sappho (r = 34.3 km),S (Silicaceous stony) [SMASSII],4.55650470040858e+17,34.2815,2.296282028,0.199671169,8.676097554,14.03,10,0,3.43,1,1,5,5,8,9
284 Amalia (r = 26.5 km),Ch (Primitive carbonaceous) [SMASSII],1.08823966489998e+17,26.475,2.359843405,0.22205454,8.043827211,8.545,10,0,3.43,1,1,5,5,8,9
1135 Colchis (1929 TA) (r = 25.3 km),Xk (Metallic / enstatite) [SMASSII],2.37307908337955e+17,25.296,2.665681536,0.113705777,4.540767699,23.467,6,0,3.42,1,1,7,7,6,8
134 Sophrosyne (r = 54.0 km),Ch (Primitive carbonaceous) [SMASSII],9.23417125129078e+17,54,2.562915278,0.11512004,11.61241176,17.196,8,0,3.41,1,2,7,4,6,9
541 Deborah (r = 30.1 km),B (Primitive carbonaceous) [SMASSII],1.59502894892412e+17,30.0735,2.813586613,0.053354289,6.018308292,29.368,6,0,3.4,1,1,8,6,5,8
175 Andromache (r = 47.3 km),Cg (Primitive carbonaceous) [SMASSII],6.1924598135615e+17,47.266,3.186761612,0.231501672,3.217621989,8.324,10,0,3.39,1,2,4,8,1,9
283 Emma (r = 66.2 km),X (Metallic / enstatite) [Tholen],4.25189964876682e+18,66.1925,3.048081255,0.143919597,7.988649793,6.896,10,0,3.38,1,2,6,5,3,8
68 Leto (r = 61.3 km),S (Silicaceous stony) [Tholen],2.59935963819064e+18,61.2545,2.782761579,0.184340944,7.960518538,14.848,10,0,3.38,1,2,5,5,5,9
127 Johanna (r = 61.0 km),Ch (Primitive carbonaceous) [SMASSII],1.33108610526167e+18,61,2.755860204,0.063328727,8.238027463,12.7988,5,0,3.38,1,2,8,5,5,10
78 Diana (r = 60.3 km),Ch (Primitive carbonaceous) [SMASSII],1.28578567039443e+18,60.3,2.622632693,0.203492794,8.678735514,7.2991,10,0,3.38,1,2,5,5,6,8
744 Aguntina (r = 29.3 km),FX: (Primitive carbonaceous) [Tholen],1.47781362564966e+17,29.318,3.179828398,0.111933366,7.719961617,17.47,10,0,3.38,1,1,7,5,1,9
259 Aletheia (r = 87.2 km),X (Metallic / enstatite) [SMASSII],9.70718642157539e+18,87.159,3.133531985,0.129969267,10.80839048,8.143,10,0,3.36,1,3,6,4,2,9
92 Undina (r = 63.2 km),Xc (Metallic / enstatite) [SMASSII],3.70266162181807e+18,63.21,3.185474654,0.104864734,9.923253392,15.941,10,0,3.36,1,2,7,4,1,9
740 Cantabia (r = 45.5 km),CX (Primitive carbonaceous) [Tholen],5.50577307544916e+17,45.45,3.055212597,0.104670968,10.82102231,64.453,10,0,3.36,1,2,7,4,3,7
115 Thyra (r = 39.9 km),S (Silicaceous stony) [SMASSII],7.19218374690896e+17,39.915,2.380017876,0.192356182,11.58738111,7.241,10,0,3.36,1,2,5,4,8,8
7 Iris (r = 99.9 km),S (Silicaceous stony) [SMASSII],1.12809182392652e+19,99.915,2.386528966,0.230213312,5.518812911,7.139,8,0,3.35,1,3,4,6,8,8
762 Pulcova (r = 73.7 km),F (Primitive carbonaceous) [Tholen],2.344850627627e+18,73.6715,3.152476864,0.107848369,13.10225384,5.839,10,0,3.34,1,3,7,3,2,8
145 Adeona (r = 63.9 km),Ch (Primitive carbonaceous) [SMASSII],1.52948738002969e+18,63.8915,2.67075442,0.147484982,12.62175325,15.071,10,0,3.34,1,2,6,3,6,9
