Name_DecRadius,Class_Composition_SMASSII,Mass_kg,Radius_km,SMA_AU,Eccentricity,Inclination_deg,RotPeriod_hr,SciPotential_Score,DeltaV_Score,Total_WeightedScore,Subscr_Mass_Score,Subscr_Radius_Score,Subscr_Ecc_Score,Subscr_Inc_Score,Subscr_SMA_Score,Subscr_RotPer_Score
952 Caia (r = 44.3 km),Unknown (Unclassified),7.30603860946429e+17,44.346,2.99189467,0.244597049,9.98950261,7.5,1,0,2.11,1,2,4,4,3,9
957 Camelia (r = 45.8 km),Unknown (Unclassified),8.03480240337844e+17,45.774,2.920225076,0.082094617,14.76020638,85.05,1,0,2.1,1,2,7,1,4,6
314 Rosalia (r = 30.3 km),Unknown (Unclassified),2.3407690279707e+17,30.3445,3.159071752,0.170690101,12.51430299,20.465,1,0,2.09,1,1,6,3,2,8
1072 Malva (1926 TA) (r = 26.8 km),Unknown (Unclassified),1.61936510754583e+17,26.8375,3.171353438,0.237081464,8.019869649,10.08,1,0,2.08,1,1,4,5,2,9
987 Wallia (r = 26.3 km),Unknown (Unclassified),1.52844033634755e+17,26.3255,3.134623636,0.237971013,8.91028392,10.0813,1,0,2.08,1,1,4,5,2,9
1165 Imprinetta (1930 HM) (r = 26.6 km),Unknown (Unclassified),1.57559684383925e+17,26.5935,3.128700099,0.210145852,12.79684216,10.797,1,0,2.04,1,1,5,3,2,10
788 Hohensteina (r = 55.6 km),Unknown (Unclassified),1.44362893921282e+18,55.6475,3.12343474,0.136357286,14.35556474,37.137,1,0,2.02,1,2,6,2,2,7
393 Lampetia (r = 58.1 km),Xc (Metallic / enstatite) [SMASSII],2.87464443955701e+18,58.0955,2.780691091,0.332906205,14.82555336,38.455,8,0,2,1,2,1,1,5,7
1030 Vitja (r = 29.9 km),Unknown (Unclassified),2.23009089148902e+17,29.8585,3.118637765,0.123189032,14.78039361,6.334,1,0,1.85,1,1,6,1,2,8
665 Sabine (r = 25.5 km),Unknown (Unclassified),1.39648516343391e+17,25.545,3.144226635,0.172321602,14.74816765,4.294,1,0,1.65,1,1,5,1,2,7
