dv_asteroids,dv_launch,asteroid 1,asteroid 2,asteroid 3,filename
78.1835105626762,26.2972727906341,Peraga,Klymene,Hertha,greedy_test_0.1_-1.0_-1.0_0.1_0.1_0.1.mat
66.0012662733881,26.2972727906341,Peraga,Themis,Hygiea,greedy_test_0.1_-1.0_0.1_0.1_0.1_0.1.mat
48.0375709074575,26.2972727906341,Peraga,Massalia,Klymene,greedy_test_0.1_-1.0_1.0_0.1_0.1_0.1.mat
32.2400105484621,20.3104269817818,Lydia,Hertha,Klymene,greedy_test_0.1_0.1_-0.1_0.1_0.1_0.1.mat
55.2845576020675,20.3104269817818,Lydia,Hertha,Klymene,greedy_test_0.1_0.1_-1.0_0.1_0.1_0.1.mat
31.0607678392829,17.3716188898565,Themis,Hygiea,Klymene,greedy_test_0.1_0.1_0.1_-0.1_0.1_0.1.mat
31.0607678392829,17.3716188898565,Themis,Hygiea,Klymene,greedy_test_0.1_0.1_0.1_0.1_0.1_0.1.mat
33.4208702979661,26.9957763623221,Massalia,Peraga,Klymene,greedy_test_0.1_0.1_1.0_0.1_0.1_0.1.mat
44.5282349793612,20.1804961405092,Peraga,Massalia,Circe,greedy_test_0.1_1.0_-0.1_0.1_0.1_0.1.mat
71.1453879919929,20.1804961405092,Peraga,Massalia,Hertha,greedy_test_0.1_1.0_-1.0_0.1_0.1_0.1.mat
58.7419619788251,20.1804961405092,Peraga,Doris,Aegina,greedy_test_0.1_1.0_0.1_0.1_0.1_0.1.mat
41.7449449441956,20.1804961405092,Peraga,Massalia,Klymene,greedy_test_0.1_1.0_1.0_0.1_0.1_0.1.mat
28.0155481031343,7.67065296258639,Hygiea,Hertha,Klymene,greedy_test_1.0_-0.1_-0.1_0.1_0.1_0.1.mat
52.2839156313241,7.67065296258639,Hygiea,Peraga,Klymene,greedy_test_1.0_-0.1_-1.0_0.1_0.1_0.1.mat
30.1527699101103,7.26710149878251,Themis,Hygiea,Klymene,greedy_test_1.0_-0.1_0.1_0.1_0.1_0.1.mat
33.7696839709742,7.11114017127793,Doris,Circe,Lydia,greedy_test_1.0_-0.1_1.0_0.1_0.1_0.1.mat
50.8589959478215,5.03087142118147,Peraga,Massalia,Circe,greedy_test_1.0_-1.0_-0.1_0.1_0.1_0.1.mat
77.5047573016403,5.03087142118147,Peraga,Klymene,Hertha,greedy_test_1.0_-1.0_-1.0_0.1_0.1_0.1.mat
65.8489849890194,5.03087142118147,Peraga,Doris,Klymene,greedy_test_1.0_-1.0_0.1_0.1_0.1_0.1.mat
47.3185593008672,5.03087142118147,Peraga,Massalia,Klymene,greedy_test_1.0_-1.0_1.0_0.1_0.1_0.1.mat
32.3648143474941,4.00645203636743,Hygiea,Hertha,Klymene,greedy_test_1.0_0.1_-0.1_0.1_0.1_0.1.mat
55.5503090253618,4.00645203636743,Hygiea,Lydia,Klymene,greedy_test_1.0_0.1_-1.0_0.1_0.1_0.1.mat
30.5678816176183,4.33648442675536,Themis,Hygiea,Klymene,greedy_test_1.0_0.1_0.1_-0.1_0.1_0.1.mat
30.5678816176183,4.33648442675536,Themis,Hygiea,Klymene,greedy_test_1.0_0.1_0.1_0.1_0.1_0.1.mat
32.0898730030385,4.00075155833756,Massalia,Peraga,Klymene,greedy_test_1.0_0.1_1.0_0.1_0.1_0.1.mat
48.6019777071959,5.32528658848366,Massalia,Peraga,Klymene,greedy_test_1.0_1.0_-0.1_0.1_0.1_0.1.mat
70.6605866001918,5.24315504231926,Peraga,Concordia,Klymene,greedy_test_1.0_1.0_-1.0_0.1_0.1_0.1.mat
52.7584863636809,5.24315504231926,Peraga,Themis,Hygiea,greedy_test_1.0_1.0_0.1_0.1_0.1_0.1.mat
43.2190765558434,5.24315504231926,Peraga,Massalia,Klymene,greedy_test_1.0_1.0_1.0_0.1_0.1_0.1.mat
